name,capacity,category,descriptionFr,descriptionEn,photoThumbnails,popularityScore,price,subCategories,eanCode,itemHeightRef
LUBERON LES CLAPES,6848.43,wine,,,https://img.e-boissons.com/picture/product/CBO/luberon-les-clapes-blanc-2023-cave-de-bonnieux-18544-1-1R9S.png,0,6.5,,3760028200161,0000099037518
IGP CTE TARN BLC MOEL.EC75CL,3249.61,wine,,,https://martinique.123-click.com/pub/nos_rayons/boissons/vins_champagnes/.7400198-1_m.jpg,0,3.2,,3250390207634,0000052338035
IGP ALPILLES ROSE CUVEE EVIDEN,17100.75,wine,,,https://produits.bienmanger.com/30933-0w470h470_Rose_Igp_Alpilles_Bio.jpg,0,16.9,,3760059140153,0000099038691
VAL DE L OULE ROSE TENDRESSE,6283.4,wine,,,https://botanic-botanic-storage.omn.proximis.com/Imagestorage/imagesSynchro/500/1600/f079c8633f78fc16c39ae23af7647a7acc1cfeca_1776766.png,0,6.3,,3435600000216,0000099037387
MAS GOURGONNIER BLANC TRADITIO,10182.09,wine,,,https://www.thewineilove.com/media/catalog/product/cache/2/image/605x302/a8c876702c6cb649fba7cbed6b6e2e91/8/8/884ef61cc05106ace4eb8bf22dd27c46.jpeg,0,10.4,,3760104593224,0000099024945
LANSAC ROUGE 5L,15044.8,wine,,,https://vin54.fr/2886-large_default/rouge-igp-alpilles-excellence-domaine-grand-mas-de-lansac.jpg,0,15.4,,3760059140061,0000099016145
IGP VAR 100% ROLLE,6007.05,wine,,,https://vinessen.fr/wp-content/uploads/2018/06/blanc-igp-var-rolle.jpg,0,6.2,,3760146021754,0000099012664
CDR SEGURET VILLAGES 2021,6493.22,wine,,,http://cellar.com/cdn/shop/files/Domaine_de_L_Amauve_Seguret_Seguret_Laurances_-_2021.jpg?v=1718202057,0,6.7,,3341332013137,0000099040700
IGP TER.MIDI RS GRAINS LISTEL,3305.63,wine,,,https://media.traiteur.carrefour.fr/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/r/crf_traiteur_vin_ros_igp_terres_du_midi_grain_de_gris_listel_500x500.jpg,0,3.5,,3244081500005,0000029499905
IGP VAR MISS GRIS,5664.18,wine,,,https://rwmselections.com/cdn/shop/files/DomaineGavotyCotesdeProvenceBlanc_GrandClassique.jpg?v=1738875273,0,6.0,,3760146023659,0000099032690
AOC 2021 LES TROIS ORATOIRES C,4665.51,wine,,,https://www.xtrawine.com/cdn/shop/files/clos-de-l-oratoire-des-papes-chateauneuf-du-pape-rouge-2021_45094_2.webp?v=1738221482&width=416,0,5.0,,3760012970506,0000099041482
IGP T.CAMARGUE BLC BIO 75CL,4562.25,wine,,,https://media.licdn.com/dms/image/v2/D4D22AQFGtyGvvirRwg/feedshare-shrink_800/feedshare-shrink_800/0/1725532776445?e=2147483647&v=beta&t=jHbFXVmkNe6LVlZPj8nad1OA174bMr5hNNDvp8oPvp4,0,5.3,,3545440130148,0000029500339
TERRES ET LUMIeRES VENTOUX BLA,5634.9,wine,,,https://wineanorak.com/wp-content/uploads/2024/04/P3190312.jpg,0,6.5,,3760033100081,0000099003837
IGP ROUGE FRISSON VAL DE L'OUL,6352.27,wine,,,https://www.vignoblesbenoit.fr/wp-content/uploads/2024/07/7B30B345-3D4B-46E4-A6FF-430476624D27-284x1024.jpg,0,7.4,,3435600000230,0000099036806
VENTOUX ROSE 1911 LEGENDE 75CL,5170.79,wine,,,https://www.b-21.com/labels/live/FRHGBRNVGE.jpg,0,6.2,,3760106128462,0000099089046
IGP ROUGE CUVEE ALPILLES BIO 2,8118,wine,,,https://www.vinatis.com/93178-detail_default/alpilles-rouge-2022-domaine-de-valdition.png,0,9.9,,3760063300628,0000099010235
MAS DE LA DAME ROSE DU MAS,8494.5,wine,,,https://www.laversionedigunter.com/media/images/desktop/ros%C3%A9-du-mas-mas-de-la-dame%40800xauto_r.jpeg.webp,0,10.5,,3464723207516,0000099016135
LANSAC BLANC 5L,12302.05,wine,,,https://www.tremoine.com/220-thickbox_default/terres-de-lansac-2021.jpg,0,15.9,,3760059140085,0000099016148
VAL DE L'OULE ROUGE EMOTION,5918.9,wine,,,https://images.vivino.com/thumbs/013y2dsf8elbs_150x200.jpg,0,7.9,,3435600000209,0000099037386
COTES DE PROVENCE CŒUR ROSE,4878.72,wine,,,https://maisoncr.com/wp-content/uploads/2017/12/CR-Reserve.jpg,0,6.6,,3760057981154,0000099020444
LAGOY VIN ROSE 5L,19036.5,wine,,,https://domaine-lagoy.com/wp-content/uploads/2022/04/Blanc-Chapelle-300x300.png,0,25.9,,3760063300352,0000099051061
AOP CAB.ANJOU RS EX.CLUB 75CL,2898.7,wine,,,https://drhmarket.fr/39484-medium_default/exp-club-aop-cabanjou-rs-exclub-75cl.jpg,0,3.9,,3250390261735,0000052344335
IGP ROSE ETOILE DES ALPILLES,3527.45,wine,,,https://www.vinatis.co.uk/96467-detail_default/alpilles-rose-2024-domaine-de-valdition.png,0,4.8,,3760251190161,0000099035796
BORDEAUX CHaTEAU MARQUIS DES B,3602.78,wine,,,https://wineconsigners.com/cdn/shop/products/2000marquisdeterme.jpg?v=1616650422,0,5.0,,3259354143001,0000099031283
COTEAUX VAROIS LES RESTANQUES,6352.25,wine,,,https://images.vivino.com/labels/hnMAdBjgRHmRnSpezj1_vQ.jpg,0,8.8,,3760146023567,0000099013634
DOMAINE DE LAGOY BIO 2023,7098.3,wine,,,https://i0.wp.com/domaine-lagoy.com/wp-content/uploads/2021/09/b-blanc-classique-verre-domaine-de-lagoy-boutique.jpg,0,9.9,,3760063300024,0000099013439
IGP HERAULT RGE E.CLUB75CL,1450.32,wine,,,https://drhmarket.fr/38800-large_default/exp-club-igp-herault-rge-eclub75cl.jpg,0,2.0,,3250390051534,0000052337100
COTES DU RHONE PERRIN ROUGE,6804.7,wine,,,https://cdn.vin.co/_clients_folder/perrin/Nature_Rouge_1651744716_retina.jpg,0,9.6,,3296180000160,0000099005112
IGPOC CIN.GRENACH RS R.MAZET75,2087.44,wine,,,https://media.carrefour.fr/medias/6c2c40684dee4081bc6590d49ea15e49/p_1500x1500/03175520018686_A1C1_s03.png,0,3.0,,3175520018686,0000052339397
IGP OC CAB SAUV RG CX PIN 75CL,1567.77,wine,,,https://drhmarket.fr/40902-medium_default/croix-pin-igp-oc-cab-sauv-rg-cx-75cl.jpg,0,2.2,,3250390801078,0000052337602
VAL DE L'OULE BLANC PLAISIR,6016.4,wine,,,https://images.vivino.com/thumbs/B85oMKEtSLGz0QoOODLU4A_150x200.jpg,0,8.9,,3435600000223,0000099037388
AOP PETIT CHABLIS BL EXP CLUB,7689.75,wine,,,https://www.grapelive.com/wp-content/uploads/2023/11/22LavanPC.jpg,0,11.4,,3250392362898,0000017468346
IGP OC GRIS DES LAUNES,2807.3,wine,,,http://www.thefrenchcornerwines.com/wp-content/uploads/2020/05/Pot-de-Vin-rose.jpg,0,4.2,,3392120003533,0000099002256
COTES DU RHONE RGE GUIGAL,6528.27,wine,,,https://winesonline.com.sg/cdn/shop/products/E-Guigal-Cotes-du-Rhone-Rouge_1600x.jpg?v=1567498105,0,9.8,,3536650501002,0000017376801
VAL DE L'OULE ROSE DESIR,6287.36,wine,,,https://images.vivino.com/thumbs/XEA9AxXSRPCXC5Hw-tvvsw_375x500.jpg,0,9.6,,3435600000032,0000099088812
