name,capacity,category,descriptionFr,descriptionEn,photoThumbnails,popularityScore,price,subCategories,eanCode,itemHeightRef,unityType
ST NECTAIRE FERMIER,14675.37,cheese,,,https://www.splo.fr/media/cache/attachment/filter/product_gallery_main/c6edc887e6ca2148a7a912c5ac4b7219/2954/65114708be17f861818874.jpg,0,29.7,,0204240000000,0000099041837,g
EMMENTAL LT CRU 1/8M 27% 10KG,6299.86,cheese,,,https://drhmarket.com/10470-thickbox_default/gruyere-france-igp-5k5.jpg,0,13.0,,2839008000000,0009919782641,g
GRUYERE FRANCE IGP 5K5,9627.48,cheese,,,https://fromagerie-chevrefeuille.com/wp-content/uploads/2021/11/image67.jpeg,0,19.8,,2843122000000,0009919667068,g
*L'ENROBE ABRICOT 80G,1511.8,cheese,,,https://img.ankorstore.com/products/images/599341-47df88d2f3f3c9.jpg?auto=format%2Ccompress&fm=pjpg&dpr=2&h=200&w=200&fit=crop&crop=faces&force_format=webp,0,3.2,,2849441000000,0000024447157,g
FE FETA GRECQUE AOP 180G,1961.16,cheese,,,https://johnnyblanc.fr/wp-content/uploads/2018/06/Sauvaget-cendr%C3%A9.jpg,0,4.1,,5202425001128,0000019443461,g
LE SAUVAGET,3396.25,cheese,,,https://www.cnk-foodmarket.com/cdn/shop/files/FROC010.jpg,0,7.2,,0204920000000,0000099006094,g
VAGNE COMTE 9/12MOIS 1/8M 5KG,11587.08,cheese,,,https://images.openfoodfacts.org/images/products/267/132/502/8932/front_fr.4.full.jpg,0,24.9,,2663571000000,0000043439327,g
COMTE 12 MOIS,13295.24,cheese,,,https://www.lakoop.com/2405-large_default/beaufort-ete.jpg,0,28.8,,0204080000000,0000099041350,g
BEAUFORT PTPERCE AOP 1/12M 3K5,14969.31,cheese,,,https://les-alpages.fr/wp-content/uploads/2014/09/146.couronne_lochoise.jpg,0,33.3,,2890729000000,0009943439268,g
COURONNE LOCHOISE,3053.2,cheese,,,https://media.carrefour.fr/medias/11070a9526dd3c3da4d53583257b447b/p_1500x1500/3245390135803-0.jpg,0,6.8,,0204130000000,0000099041420,g
P&C ST NECTAIRE LAITIE AOP 1K7,6979.13,cheese,,,https://jacobsons.ca/cdn/shop/products/BrillatSavarinFrais_1000x1000.png?v=1642881528,0,16.3,,2890801000000,0009943439221,g
FE BRILLAT SAVARIN IGP 200G,2443.88,cheese,,,https://bf1af2.a-cdn.akinoncloud.com/products/2024/09/11/79534/2e7fe23b-cc2d-4c08-acf1-d9801c43a043_size3840_cropCenter.jpg,0,5.8,,3296651111937,0000019248513,g
FE HALLOUMI AOP 225G,2050.31,cheese,,,http://straitscheese.com/cdn/shop/products/PICODON.jpg?v=1705555987,0,4.9,,3760280680817,0000024454373,g
*PICODON AOP 60G,3140.9,cheese,,,https://www.fromagerie-clochedor.fr/app/uploads/sites/6/2019/08/Epoisse-Etiquettes-1kg-300-min-345x291.jpg,0,7.6,,2844180000000,0009919915032,g
FE EPOISSES AOP 250G,3402.59,cheese,,,https://rappel.conso.gouv.fr/image/ec9ce5bf-ec7e-478b-922a-00ea16e3ee0b.jpg,0,8.2,,2663495000000,0000043439171,g
P&C MORBIER AOP LC 6K5,7037.17,cheese,,,https://www.fromagerie-stbonnetdesalers.com/media/images/catalog/article/97/mediumDetail/73.JPG,0,17.2,,2663661000000,0000043439334,g
GP CANTAL JEUNE LAIT CRU AOP5K,7204.42,cheese,,,https://www.lepanierducausse.fr/1413-large_default/tomme-des-cazelles-fromage-de-brebis-pasteurise.jpg,0,18.0,,2891827000000,0009919362372,g
TOMME CAZELLES BREBIS 4.4ENV,8321.78,cheese,,,https://www.fromagerieantony.fr/wp-content/uploads/2023/09/Tomme-de-Chartreuse.jpg,0,21.0,,2843639000000,0000019749800,g
TOMME DE MONTAGNE CHARTREUSE,9147.4,cheese,,,https://www.frenchclick.co.uk/images/product/medium/9901.jpg,0,23.1,,0204950000000,0000099006097,g
PETIT POT CREME CHOCOLAT,742.9,cheese,,,http://www.primegourmet.ae/cdn/shop/products/reblochon-fermier-aop-cows-milk-500g-542688.png?v=1681725400,0,1.9,,3483130046402,0000099011577,g
P'TIT BASQUE PUR BREBIS 660G,10278.37,cheese,,,https://www.coursesu.com/dw/image/v2/BBQX_PRD/on/demandware.static/-/Sites-digitalu-master-catalog/default/dw8549e10d/2635574000002_B1NG_2448733_S11.png?sw=388&sh=388&sm=fit,0,26.6,,2663545000000,0000043439455,g
REBLOCHON FERMIER AOP,12488.86,cheese,,,https://images.openfoodfacts.org/images/products/325/039/110/5335/front_fr.30.400.jpg,0,33.0,,0204610000000,0000099041875,g
ITCHEBAI CHEVRE&BREBIS 4K5,9708.34,cheese,,,https://preprod.lespetiteslaiteries.fr/wp-content/uploads/2020/10/PELISSONNE-DARDECHE.png,0,25.9,,2831762000000,0000024105511,g
FE P&C CHAOURCE AOP 250G,1676.18,cheese,,,https://www.mons-fromages.com/media/cache/sylius_large/33/9b/6a2848ca6524deb35c4bdfcd18f5.jpg,0,4.6,,3250391105335,0000043434115,g
PELISSONNE D'ARDECHE,8121.44,cheese,,,https://www.fromage-pouillot.fr/98/comte-affine-24-mois-marcel-petite.jpg,0,22.6,,0204260000000,0000099041839,g
TOMME DE TARENTAISE,6619.02,cheese,,,https://cdn.intermarche.com/fr/Content/images/boitmal/produit/zoom/DEB9C7B96108D785F5CDE6A6AF377521.jpg,0,18.8,,0204250000000,0000099041838,g
COMTE 24 MOIS,13073.14,cheese,,,https://lechariotafromages.fr/1460-large_default/brocciu-frais-aop.jpg,0,38.7,,0204100000000,0000099041352,g
COMTE VAGNE AOP 18 MOIS 5KG,2490.98,cheese,,,https://dojwn62xby8qn.cloudfront.net/public/offer_presentations/product/10719-1542380100.jpg,0,7.4,,2663568000000,0000043439371,g
BROCCIU FRAIS FERMIER AOP,2999.3,cheese,,,https://www.leguidedufromage.com/files/1/z2010281431560.jpg,0,8.9,,3429881511936,0000099052839,g
"ROITELET BRIE 3,150KG",4816.73,cheese,,,,0,14.7,,2663499000000,0000043439010,g
PAVE DU LARZAC,1853.2,cheese,,,,0,5.7,,0204900000000,0000099006092,g
,,,,,,,,,,,g
,,,,,,,,,,,g
,,,,,,,,,,,g
,,,,,,,,,,,g
,,,,,,,,,,,g
